内容方向,达人昵称,内容链接,总消耗,进店uv,阅读量,互动量,搜索uv,gmv,roi,cpm,cpe,搜索成本,进店成本,source,product,noteId
G1横测,数码领地,https://www.xiaohongshu.com/explore/69e8c50e000000002102fafa?app_platform=ios&app_version=9.26.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBzBypZjc5NyqA_0XhX2fU95DWjFDWm0fjIhvmxhJmKVY=&author_share=1&xhsshare=CopyLink&shareRedId=ODxIN0k1SEE2NzUyOTgwNjdFOTg6RkhN&apptime=1776926155&share_id=c3a4a7076cd1474a853b54c7ba88f4e0,7379.644,7797,25105,311,2097,448783.11,60.8136530705275,293.951165106553,23.7287588424437,3.51914353838817,0.946472232910094,KOC,G1,69e8c50e000000002102fafa
G1横测,智能生活研究所,https://www.xiaohongshu.com/explore/69e9b060000000002103b2b7?app_platform=ios&app_version=9.26.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB1hPIwy4iTxheC1dcUn0guWtpaE2XVJMbAC5bjVHtfVU=&author_share=1&xhsshare=CopyLink&shareRedId=OD40MDtKSkw2NzUyOTgwNjZHOTdFOzpP&apptime=1776926216&share_id=b1f0bee789ea4a1092487adebed3c724,3842.392,3320,15117,68,753,150643.72,39.2057135242838,254.176886948469,56.5057647058824,5.10277822045153,1.15734698795181,KOC,G1,69e9b060000000002103b2b7
G1横测,元宝科技,https://www.xiaohongshu.com/explore/69e8adf2000000002301f5b1?app_platform=android&ignoreEngage=true&app_version=9.26.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBSj0Nr1L518V35VAfmqjftvYEpqOlr1fC7AbZITSjvtY=&author_share=1&shareRedId=ODkzNDk5Rzs2NzUyOTgwNjc1OTdISjY9&apptime=1776861130&share_id=1d59467e9fef4a3399099a24effbcd41&share_channel=copy_link&appuid=631464c2000000001200de04&xhsshare=CopyLink,1080.904,1314,2882,54,339,39145.27,36.2153068172567,375.053435114504,20.0167407407407,3.18850737463127,0.822605783866058,KOC,G1,69e8adf2000000002301f5b1
G1横测,数里行间,https://www.xiaohongshu.com/explore/69ff1cf00000000035038de6?xsec_token=MBgNBXWasskAAyglb6mQ2RV1y-J_wWE5dbJmB2SFvklKo=&xsec_source=pc_pgyexport,4518.365,2496,15808,161,881,146797.89,32.4891614555265,285.827745445344,28.0643788819876,5.12867763904654,1.81024238782051,KOC,G1,69ff1cf00000000035038de6
G1横测,元宇宙,https://www.xiaohongshu.com/explore/69e8c156000000001a026ca1?app_platform=android&ignoreEngage=true&app_version=9.26.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBWwp9m5Se1DO6HrZ5wULt1sgUq_lHUHm2NzVI8pyPoro=&author_share=1&shareRedId=ODkzMTY9O0s2NzUyOTgwNjZJOTc4OEhO&apptime=1776863230&share_id=1c4deb4336044f06a243234ba1fa85e3&share_channel=copy_link&appuid=6311387b000000000f0043be&xhsshare=CopyLink,2884.234,1796,9041,45,370,71187.93,24.6817456558656,319.017144121226,64.0940888888889,7.79522702702703,1.60592093541203,KOC,G1,69e8c156000000001a026ca1
G1横测,悦居数码生活录,https://www.xiaohongshu.com/explore/69f33440000000002301f9ec?xsec_token=ABjpeafVmpXl8d0YfIsJJjNEvVU1I8nIslFXgS7FvmrhY=&xsec_source=pc_user,608.736,276,1626,188,85,8601.51,14.1301155180571,374.376383763838,3.23795744680851,7.1616,2.2055652173913,KOC,G1,69f33440000000002301f9ec
G1横测,小宝爱数码,https://www.xiaohongshu.com/explore/69f31f73000000003600056f?xsec_token=ABjpeafVmpXl8d0YfIsJJjNCxCMwNUxi5K3WXRCPazXTI=&xsec_source=pc_user,1451.83,386,3660,53,98,8693.45,5.98792558357384,396.674863387978,27.3930188679245,14.8145918367347,3.76121761658031,KOC,G1,69f31f73000000003600056f
G1横测,加F搞机,https://www.xiaohongshu.com/explore/69f05eca000000002301c935?app_platform=android&ignoreEngage=true&app_version=9.27.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB_7bQ16IrchWdLADxRiOqo4INr2O2_pqbltA2nP0AV1o=&author_share=1&shareRedId=ODhGQUY-Ozw2NzUyOTgwNjdJOTc7OkpP&apptime=1777373707&share_id=ef111ec4eb154d509944d6f3825644c7&share_channel=copy_link&appuid=62dac973000000001f0075df&xhsshare=CopyLink,997.141,580,2077,145,169,12595.0,12.6311123502092,480.087144920559,6.87683448275862,5.9002426035503,1.71920862068966,KOC,G1,69f05eca000000002301c935
G1横测,小宅生活家,https://www.xiaohongshu.com/explore/69f2feb20000000035030b3b?app_platform=android&ignoreEngage=true&app_version=9.27.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBLIzxpXVDe5_wN6DiMdL83BJvCfp6H76YXBm9Lv9ctJE=&author_share=1&shareRedId=OD1FOTY5Nzo2NzUyOTgwNjZHOTc8PDlP&apptime=1777547681&share_id=670b2607fe164b9c9f65c7ff8c1595ad&share_channel=copy_link&appuid=67c93431000000000d00873f&xhsshare=CopyLink,498.856,158,1908,103,67,26022.91,52.1651739179242,261.454926624738,4.84326213592233,7.44561194029851,3.1573164556962,KOC,G1,69f2feb20000000035030b3b
G1横测,Tech日志,https://www.xiaohongshu.com/explore/69f2bba50000000036000b17?xsec_token=ABG_eZIimKiMwu_OdprPAeP3A0i59ttD7hCjr0lWpenn8=&xsec_source=pc_user,711.075,719,1148,34,185,17201.04,24.1901909081321,619.40331010453,20.9139705882353,3.84364864864865,0.988977746870654,KOC,G1,69f2bba50000000036000b17
